,belongs_to_collection,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genres,original_language,revenue,title,vote_average,vote_count
10,,Action,Adventure,,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,10017322.0,Cutthroat Island,5.7,137.0
11,,Drama,Crime,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,116112375.0,Casino,7.8,1343.0
12,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,135000000.0,Sense and Sensibility,7.2,364.0
13,,Crime,Comedy,,,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,4300000.0,Four Rooms,6.5,539.0
14,"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg'}",Crime,Comedy,Adventure,,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",en,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0
15,,Action,Comedy,Crime,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,35431113.0,Money Train,5.4,224.0
16,"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}",Comedy,Thriller,Crime,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,115101622.0,Get Shorty,6.4,305.0
17,,Drama,Thriller,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,0.0,Copycat,6.5,199.0
18,,Action,Adventure,Crime,Thriller,,,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,30303072.0,Assassins,6.0,394.0
19,,Drama,Fantasy,Science Fiction,Thriller,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,0.0,Powder,6.3,143.0
20,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,49800000.0,Leaving Las Vegas,7.1,365.0
21,,Fantasy,Science Fiction,Adventure,,,,,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",fr,1738611.0,The City of Lost Children,7.6,308.0
22,,Drama,Crime,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,180000000.0,Dangerous Minds,6.4,249.0
23,,Science Fiction,Thriller,Mystery,,,,,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",en,168840000.0,Twelve Monkeys,7.4,2470.0
24,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/jgnah0k4AumfcZE4HHMJywYHvG6.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",Fantasy,Drama,Comedy,Family,,,,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,254134910.0,Babe,6.0,756.0
25,,Drama,,,,,,,"[{'id': 18, 'name': 'Drama'}]",en,39363635.0,Dead Man Walking,7.3,350.0
26,,Comedy,Family,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,It Takes Two,6.1,149.0
27,,Comedy,Drama,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,Clueless,6.9,828.0
28,"{'id': 9818, 'name': 'Mortal Kombat Collection', 'poster_path': '/nauCllomdtyciLCRcVrSJKcJQbn.jpg', 'backdrop_path': '/qD3efz57VGNywAN4lTvgz3FHnBb.jpg'}",Action,Fantasy,,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",en,122195920.0,Mortal Kombat,5.4,452.0
29,,Fantasy,Drama,Comedy,Thriller,,,,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",en,21284514.0,To Die For,6.7,177.0
30,,Crime,Mystery,Thriller,,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,327311859.0,Se7en,8.1,5915.0
31,"{'id': 136214, 'name': 'Pocahontas Collection', 'poster_path': '/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg', 'backdrop_path': '/qqeOxNmtAW7WXdbrmQftgluvve7.jpg'}",Adventure,Animation,Drama,Family,,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,346079773.0,Pocahontas,6.7,1509.0
32,,Drama,Crime,Thriller,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,23341568.0,The Usual Suspects,8.1,3334.0
33,,Comedy,Romance,,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,6700000.0,Mighty Aphrodite,6.7,145.0
34,,Comedy,Drama,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",it,0.0,The Postman,7.6,181.0
35,,Adventure,Family,Fantasy,,,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,0.0,The Indian in the Cupboard,5.9,136.0
36,,Music,Drama,Family,,,,,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,106269971.0,Mr. Holland's Opus,6.9,115.0
37,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,0.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0
38,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,0.0,Bio-Dome,4.4,110.0
39,"{'id': 43563, 'name': 'Friday Collection', 'poster_path': '/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg', 'backdrop_path': '/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg'}",Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,28215918.0,Friday,7.0,513.0
40,"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}",Horror,Action,Thriller,Crime,,,,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,25836616.0,From Dusk Till Dawn,6.9,1644.0
41,"{'id': 122017, 'name': 'Screamers Collection', 'poster_path': '/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg', 'backdrop_path': None}",Horror,Science Fiction,,,,,,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",en,5781885.0,Screamers,6.1,154.0
42,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,32.0,Black Sheep,6.0,124.0
43,,Crime,Drama,Thriller,,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,8175346.0,Nick of Time,6.1,190.0
44,,Comedy,Horror,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",en,19800000.0,Vampire in Brooklyn,4.5,113.0
45,,Comedy,Drama,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,Beautiful Girls,6.6,103.0
46,,Action,Adventure,Drama,Thriller,,,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,150270147.0,Broken Arrow,5.7,459.0
47,,Drama,,,,,,,"[{'id': 18, 'name': 'Drama'}]",fr,0.0,La Haine,7.9,695.0
48,,Comedy,Crime,Drama,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,560069.0,Bottle Rocket,6.8,285.0
49,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,41205099.0,Happy Gilmore,6.5,767.0
50,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,182016617.0,The Bridges of Madison County,7.3,397.0
51,,Action,Drama,History,War,,,,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",en,210000000.0,Braveheart,7.7,3404.0
52,,Crime,Drama,,,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",en,28262574.0,Taxi Driver,8.1,2632.0
53,,Crime,Action,Comedy,Thriller,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",cn,32392047.0,Rumble in the Bronx,6.5,245.0
54,,Comedy,Romance,,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,70100000.0,Boomerang,5.4,139.0
55,,Drama,Comedy,Romance,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",cn,0.0,Chungking Express,7.9,249.0
56,"{'id': 91430, 'name': 'The Neverending Story Collection', 'poster_path': '/tXuOhgEbXoba7vVIybzGlnycoNq.jpg', 'backdrop_path': '/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg'}",Fantasy,,,,,,,"[{'id': 14, 'name': 'Fantasy'}]",en,0.0,The Neverending Story III: Escape from Fantasia,4.4,105.0
57,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,0.0,Down Periscope,5.6,110.0
58,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,185260553.0,The Birdcage,6.7,303.0
59,"{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}",Action,Comedy,Crime,Thriller,,,,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",en,141407024.0,Bad Boys,6.5,1729.0
60,,Drama,Crime,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,0.0,The Basketball Diaries,7.2,472.0
61,,Drama,,,,,,,"[{'id': 18, 'name': 'Drama'}]",en,355237933.0,Apollo 13,7.3,1637.0
62,,Adventure,,,,,,,"[{'id': 12, 'name': 'Adventure'}]",en,31596911.0,Rob Roy,6.5,151.0
63,"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",Action,Crime,Fantasy,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",en,336529144.0,Batman Forever,5.2,1529.0
64,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",fr,0.0,Belle de Jour,7.3,163.0
65,"{'id': 8819, 'name': 'Casper Collection', 'poster_path': '/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg', 'backdrop_path': None}",Fantasy,Comedy,Family,,,,,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,287928194.0,Casper,6.0,1045.0
66,,Action,Adventure,Drama,Mystery,Science Fiction,Thriller,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,152022101.0,Congo,5.0,214.0
67,,Action,Thriller,Drama,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",en,157387195.0,Crimson Tide,7.0,508.0
68,"{'id': 9649, 'name': 'Mexico Trilogy', 'poster_path': '/qmPhILSFQKaRyc81mVJWl05tHai.jpg', 'backdrop_path': '/6p1OzuIKWnTDfDea7IpB9xra5J.jpg'}",Thriller,Action,Crime,,,,,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",en,25405445.0,Desperado,6.8,898.0
69,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",Action,Thriller,,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,366101666.0,Die Hard: With a Vengeance,6.9,2094.0
70,,Action,Adventure,Drama,Romance,,,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,127600435.0,First Knight,5.9,319.0
71,"{'id': 9328, 'name': 'Free Willy Collection', 'poster_path': '/3M2Q9ZDTyFBfi3ohz2gizFmnoL0.jpg', 'backdrop_path': '/aef15QAJ8Kxbh8W5zXqJb1f9Vhw.jpg'}",Adventure,,,,,,,"[{'id': 12, 'name': 'Adventure'}]",en,0.0,Free Willy 2 - The Adventure Home,5.5,130.0
72,,Action,Crime,Thriller,Drama,,,,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",en,7563728.0,Hackers,6.2,406.0
73,,Adventure,Action,Drama,Science Fiction,Thriller,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,19075720.0,Johnny Mnemonic,5.5,380.0
74,,Science Fiction,,,,,,,"[{'id': 878, 'name': 'Science Fiction'}]",en,113493481.0,Judge Dredd,5.4,643.0
75,,Drama,Crime,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,7412216.0,Kids,6.8,280.0
76,,Romance,Comedy,,,,,,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",en,2122561.0,Mallrats,6.8,400.0
77,"{'id': 286162, 'name': 'Power Rangers Collection', 'poster_path': '/zyHCzQUkgaemgCMEplqAqsp83SA.jpg', 'backdrop_path': '/ddGPthtIvNM2f8qBAyxa5GSKskK.jpg'}",Action,Adventure,Science Fiction,Family,Fantasy,,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",en,66000000.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0
78,"{'id': 328073, 'name': 'S챠큐 (kolekce)', 'poster_path': '/k8HvmCUbKHBbTJoe7hJQapQd5Uy.jpg', 'backdrop_path': '/5j4HxayNgcAgGStNKqPxM0QNC7V.jpg'}",Crime,Drama,Mystery,Thriller,Action,,,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",en,110627965.0,The Net,5.6,359.0
79,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,69660733.0,Nine Months,5.5,171.0
80,"{'id': 9068, 'name': 'The Prophecy Collection', 'poster_path': '/pU4wvBeirFDNk8rs9tsGZLa7Kyb.jpg', 'backdrop_path': None}",Fantasy,Horror,Thriller,,,,,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",en,16.0,The Prophecy,6.4,139.0
81,,Drama,History,Romance,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",en,10382407.0,The Scarlet Letter,5.5,111.0
82,"{'id': 247294, 'name': 'Showgirls Collection', 'poster_path': '/lXpCjeuKtzkckXkam8sgOaaTOhc.jpg', 'backdrop_path': '/nKMLBnDGCPdHipJs0Xk8NzNmLFS.jpg'}",Drama,,,,,,,"[{'id': 18, 'name': 'Drama'}]",en,20350754.0,Showgirls,4.9,261.0
83,"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",Comedy,Drama,,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",en,8349430.0,Smoke,7.2,115.0
84,"{'id': 9887, 'name': 'Species Collection', 'poster_path': '/t5J0JH1L8L7CmtC3sL3K2ybgTbE.jpg', 'backdrop_path': '/vnpcoCTZhg1EdEog1kAS0pklx1o.jpg'}",Science Fiction,Horror,Action,,,,,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",en,113374103.0,Species,5.5,457.0
85,,Crime,Drama,Science Fiction,Thriller,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",en,7959291.0,Strange Days,6.8,334.0
86,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",fr,0.0,The Umbrellas of Cherbourg,7.6,119.0
87,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,339889.0,Total Eclipse,6.5,112.0
88,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,47774193.0,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0
89,"{'id': 112399, 'name': 'Under Siege Collection', 'poster_path': '/5hkZdonGNmoqatnadpDnIgEbrho.jpg', 'backdrop_path': '/4Ysa3x4wDwolRpUXBCrig7szGon.jpg'}",Action,Thriller,,,,,,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,104324083.0,Under Siege 2: Dark Territory,5.6,217.0
90,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,50012507.0,A Walk in the Clouds,6.5,168.0
91,,Adventure,Action,,,,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",en,264218220.0,Waterworld,5.9,1017.0
92,"{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'}",Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,5535405.0,Before Sunrise,7.7,984.0
93,,Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,26488734.0,Billy Madison,6.2,464.0
94,"{'id': 182813, 'name': 'Clerks Collection', 'poster_path': '/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg', 'backdrop_path': '/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg'}",Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,3151130.0,Clerks,7.4,769.0
95,,Romance,Drama,Comedy,,,,,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",en,22200000.0,Don Juan DeMarco,6.3,184.0
96,,Drama,Thriller,Crime,Mystery,Romance,,,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",en,214015089.0,Disclosure,5.9,217.0
97,,Crime,Drama,Mystery,,,,,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",en,0.0,Dolores Claiborne,7.1,183.0
98,"{'id': 96665, 'name': 'Dumb and Dumber Collection', 'poster_path': '/fdB86tl7SKIBWZzm0CbrYjOdE1K.jpg', 'backdrop_path': '/saUnj5K6buVafDfLfTozDH2eqdC.jpg'}",Comedy,,,,,,,"[{'id': 35, 'name': 'Comedy'}]",en,247275374.0,Dumb and Dumber,6.5,1894.0
99,,Comedy,Drama,History,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",en,5887457.0,Ed Wood,7.3,639.0
100,,Comedy,Romance,,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,French Kiss,6.2,179.0
101,"{'id': 410261, 'name': 'A Goofy Movie Collection', 'poster_path': '/4AkuuP5ljZMsAhzVnpzIXPSmDoy.jpg', 'backdrop_path': '/yiLa63gIb7EGH9BbUWXHwI6PMmx.jpg'}",Romance,Animation,Family,Comedy,Adventure,,,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",en,35348597.0,A Goofy Movie,6.7,404.0
102,,Drama,Fantasy,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",en,3049135.0,Heavenly Creatures,6.9,299.0
103,,Comedy,Drama,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,I.Q.,5.9,112.0
104,"{'id': 217704, 'name': 'The Vampire Chronicles', 'poster_path': '/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg', 'backdrop_path': '/5margBoJC97ZrciVpAUc0PiY6Rc.jpg'}",Horror,Romance,,,,,,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",en,223664608.0,Interview with the Vampire,7.2,1558.0
105,,Comedy,Family,Romance,,,,,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",en,37000000.0,Junior,4.7,381.0
106,,Action,Drama,Mystery,Thriller,,,,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",en,0.0,Just Cause,6.0,124.0
107,"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",Adventure,Action,Science Fiction,,,,,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",en,775398007.0,Star Wars,8.1,6778.0
108,,Drama,Romance,,,,,,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,0.0,Little Women,7.0,222.0
