,title,id,revenue,vote_average,vote_count,genre1,genre2,genre3,genre4,genre5,genre6,genre7
63,Nell,1945,106683817.0,6.1,128.0,Drama,Thriller,,,,,
64,Natural Born Killers,241,50282766.0,6.9,927.0,Crime,Thriller,Drama,,,,
65,Outbreak,6950,189859560.0,6.4,522.0,Action,Drama,Science Fiction,Thriller,,,
66,Leon: The Professional,101,45284974.0,8.2,4293.0,Thriller,Crime,Drama,,,,
67,Pulp Fiction,680,213928762.0,8.3,8670.0,Thriller,Crime,,,,,
68,The Quick and the Dead,12106,18552460.0,6.2,431.0,Action,Western,,,,,
69,The Swan Princess,22586,9771658.0,6.5,251.0,Animation,,,,,,
70,Stargate,2164,196567262.0,6.8,942.0,Action,Adventure,Science Fiction,,,,
71,The Santa Clause,11395,189833357.0,6.3,501.0,Fantasy,Drama,Comedy,Family,,,
72,The Shawshank Redemption,278,28341469.0,8.5,8358.0,Drama,Crime,,,,,
73,Star Trek: Generations,193,120000000.0,6.4,461.0,Science Fiction,Action,Adventure,Thriller,,,
74,What's Eating Gilbert Grape,1587,10032765.0,7.5,943.0,Romance,Drama,,,,,
75,While You Were Sleeping,2064,182057016.0,6.5,340.0,Comedy,Drama,Romance,,,,
76,Muriel's Wedding,236,15119639.0,6.9,104.0,Drama,Comedy,Romance,,,,
77,Ace Ventura: Pet Detective,3049,107217396.0,6.4,1684.0,Comedy,Mystery,,,,,
78,Bitter Moon,10497,1862805.0,7.0,115.0,Thriller,Drama,Romance,,,,
79,Clear and Present Danger,9331,215887717.0,6.4,390.0,Action,Drama,Thriller,,,,
80,The Client,10731,117615211.0,6.4,287.0,Drama,Thriller,Crime,Mystery,,,
81,The Crow,9495,94000000.0,7.3,980.0,Fantasy,Action,Thriller,,,,
82,Forrest Gump,13,677945399.0,8.2,8147.0,Comedy,Drama,Romance,,,,
83,Four Weddings and a Funeral,712,254700832.0,6.6,654.0,Comedy,Drama,Romance,,,,
84,The Lion King,8587,788241776.0,8.0,5520.0,Family,Animation,Drama,,,,
85,New Nightmare,11596,18090181.0,6.4,297.0,Horror,Thriller,Mystery,Fantasy,,,
86,The Mask,854,351583407.0,6.6,2550.0,Romance,Comedy,Crime,Fantasy,,,
87,The Naked Gun 33占쎈��: The Final Insult,36593,51132598.0,6.4,535.0,Comedy,Crime,,,,,
88,Reality Bites,2788,20079850.0,6.5,180.0,Drama,,,,,,
89,Speed,1637,350448145.0,6.8,1814.0,Action,Adventure,Crime,,,,
90,True Lies,36955,378882411.0,6.8,1138.0,Action,Thriller,,,,,
91,Wyatt Earp,12160,25052000.0,6.5,203.0,Drama,Action,Western,,,,
92,In the Mouth of Madness,2654,8946600.0,7.1,307.0,Horror,Mystery,Thriller,,,,
93,The Age of Innocence,10436,32255440.0,7.0,172.0,Drama,Romance,,,,,
94,Body Snatchers,4722,428868.0,5.8,102.0,Horror,Science Fiction,Thriller,,,,
95,A Bronx Tale,1607,17287898.0,7.4,447.0,Drama,Crime,,,,,
96,Carlito's Way,6075,36516012.0,7.7,805.0,Action,Crime,Drama,Thriller,,,
97,Cliffhanger,9350,255000211.0,6.1,600.0,Action,Adventure,Thriller,,,,
98,Dazed and Confused,9571,7993039.0,7.4,588.0,Comedy,Drama,,,,,
99,Demolition Man,9739,159055768.0,6.4,1018.0,Crime,Action,Science Fiction,,,,
100,The Firm,37233,270248367.0,6.6,513.0,Drama,Mystery,Thriller,,,,
101,Free Willy,1634,153698625.0,6.0,429.0,Family,Adventure,,,,,
102,The Fugitive,5503,368875760.0,7.2,1240.0,Adventure,Action,Thriller,Crime,Mystery,,
103,Hard Target,2019,74189677.0,6.1,237.0,Action,Adventure,Crime,Thriller,,,
104,Hot Shots! Part Deux,9255,133752825.0,6.2,463.0,Action,Comedy,War,,,,
105,In the Line of Fire,9386,176997168.0,6.8,392.0,Action,Drama,Thriller,Crime,Mystery,,
106,In the Name of the Father,7984,65796862.0,7.6,363.0,Drama,,,,,,
107,Jurassic Park,329,920100000.0,7.6,4956.0,Adventure,Science Fiction,,,,,
108,Kalifornia,10909,2395231.0,6.5,209.0,Thriller,Crime,,,,,
109,Killing Zoe,507,418961.0,6.1,111.0,Action,Crime,Drama,Thriller,,,
110,Last Action Hero,9593,137298489.0,6.1,725.0,Adventure,Fantasy,Action,Comedy,Family,,
111,Manhattan Murder Mystery,10440,11285588.0,7.1,169.0,Comedy,Mystery,,,,,
112,Menace II Society,9516,27900000.0,7.2,179.0,Drama,Action,Crime,,,,
113,Executive Decision,2320,121969216.0,5.8,261.0,Action,Adventure,Drama,Thriller,,,
114,Mrs. Doubtfire,788,441286195.0,7.0,1638.0,Comedy,Drama,Family,,,,
115,A Perfect World,9559,135130999.0,7.2,376.0,Crime,Drama,Thriller,,,,
116,Philadelphia,9800,206678440.0,7.6,1019.0,Drama,,,,,,
117,The Piano,713,116700000.0,7.1,290.0,Drama,Romance,,,,,
118,The Remains of the Day,1245,23237911.0,7.5,213.0,Drama,Romance,,,,,
119,Robin Hood: Men in Tights,8005,35739755.0,6.4,575.0,Comedy,,,,,,
120,Rudy,14534,22750363.0,7.2,187.0,Drama,,,,,,
121,Schindler's List,424,321365567.0,8.3,4436.0,Drama,History,War,,,,
122,Serial Mom,11592,7820688.0,6.4,137.0,Comedy,Crime,Horror,Thriller,,,
123,Sleepless in Seattle,858,227799884.0,6.5,630.0,Comedy,Drama,Romance,,,,
124,Blade Runner,78,33139618.0,7.9,3833.0,Science Fiction,Drama,Thriller,,,,
125,So I Married an Axe Murderer,10442,11585483.0,6.1,131.0,Comedy,Crime,Romance,,,,
126,The Nightmare Before Christmas,9479,75634409.0,7.6,2135.0,Fantasy,Animation,Family,,,,
127,The Three Musketeers,10057,53898845.0,6.2,219.0,Action,Adventure,Comedy,,,,
128,Tombstone,11969,56505065.0,7.4,632.0,Action,Adventure,Drama,History,Western,,
129,True Romance,319,12281551.0,7.5,762.0,Action,Thriller,Crime,Romance,,,
130,The Pagemaster,15139,13670688.0,6.2,178.0,Fantasy,Science Fiction,Family,Animation,,,
131,Home Alone,771,476684675.0,7.1,2487.0,Comedy,Family,,,,,
132,Ghost,251,505000000.0,6.9,1381.0,Fantasy,Drama,Thriller,Mystery,Romance,,
133,Aladdin,812,504050219.0,7.4,3495.0,Animation,Family,Comedy,Adventure,Fantasy,Romance,
134,Terminator 2: Judgment Day,280,520000000.0,7.7,4274.0,Action,Thriller,Science Fiction,,,,
135,Dances with Wolves,581,424208848.0,7.6,1084.0,Adventure,Drama,Western,,,,
136,Batman,268,411348924.0,7.0,2145.0,Fantasy,Action,,,,,
137,The Silence of the Lambs,274,272742922.0,8.1,4549.0,Crime,Drama,Thriller,,,,
138,Snow White and the Seven Dwarfs,408,184925486.0,6.9,1973.0,Fantasy,Animation,Family,,,,
139,Beauty and the Beast,10020,377350553.0,7.5,3029.0,Romance,Family,Animation,Fantasy,Music,,
140,Pinocchio,10895,84300000.0,6.9,1412.0,Animation,Family,,,,,
141,Pretty Woman,114,463000000.0,7.0,1807.0,Romance,Comedy,,,,,
142,The Wild Bunch,576,638641.0,7.7,266.0,Adventure,Western,,,,,
143,Fargo,275,60611975.0,7.7,2080.0,Crime,Drama,Thriller,,,,
144,The Aristocats,10112,55675257.0,7.1,1287.0,Animation,Comedy,Family,Adventure,,,
145,Primal Fear,1592,102616183.0,7.4,644.0,Crime,Drama,Mystery,Thriller,,,
146,Courage Under Fire,10684,100860818.0,6.2,240.0,Drama,Thriller,Mystery,War,,,
147,Mission: Impossible,954,457696359.0,6.7,2677.0,Adventure,Action,Thriller,,,,
148,DragonHeart,8840,115267375.0,6.4,553.0,Fantasy,,,,,,
149,James and the Giant Peach,10539,28921264.0,6.2,375.0,Adventure,Animation,Family,,,,
150,Space Jam,2300,250200000.0,6.5,1335.0,Animation,Comedy,Drama,Family,Fantasy,,
151,Barbarella,8069,2500000.0,5.7,149.0,Science Fiction,,,,,,
152,Oliver & Company,12233,74151346.0,6.5,372.0,Animation,Comedy,Family,,,,
153,The Craft,9100,24769466.0,6.3,388.0,Drama,Fantasy,Horror,Thriller,,,
154,The Rock,9802,335062621.0,6.9,1474.0,Action,Adventure,Thriller,,,,
155,Twister,664,494471524.0,6.1,966.0,Action,Adventure,Drama,,,,
156,The Arrival,10547,14048372.0,6.1,200.0,Action,Mystery,Science Fiction,Thriller,,,
157,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,9440272.0,8.0,1472.0,Drama,Comedy,War,,,,
158,Jack,7095,58620973.0,5.9,340.0,Comedy,Drama,Science Fiction,,,,
159,Trainspotting,627,16491080.0,7.8,2737.0,Drama,Crime,,,,,
160,Independence Day,602,816969268.0,6.7,3334.0,Action,Adventure,Science Fiction,,,,
161,The Fan,9566,18626419.0,5.7,202.0,Drama,Mystery,Thriller,,,,
162,The Hunchback of Notre Dame,10545,100138851.0,6.8,1182.0,Drama,Animation,Family,,,,
163,The Cable Guy,9894,102825796.0,5.7,603.0,Comedy,Drama,Thriller,,,,
164,Kingpin,11543,25023434.0,6.7,248.0,Comedy,,,,,,
165,Eraser,9268,242295562.0,5.6,553.0,Action,Drama,Mystery,Thriller,,,
166,Daylight,11228,159212469.0,5.8,385.0,Action,Adventure,Thriller,,,,
167,The Frighteners,10779,29359216.0,6.7,413.0,Horror,Comedy,,,,,
168,Phenomenon,9294,152036382.0,6.2,328.0,Drama,Fantasy,Romance,Science Fiction,,,
169,A Time to Kill,1645,152266007.0,7.0,522.0,Crime,Drama,Thriller,,,,
170,The First Wives Club,2925,116400000.0,6.5,172.0,Comedy,,,,,,
171,Ransom,3595,309492681.0,6.4,482.0,Action,Thriller,,,,,
172,Matilda,10830,33459416.0,6.9,892.0,Comedy,Family,Fantasy,,,,
173,Emma,3573,22231658.0,6.7,152.0,Drama,Comedy,Romance,,,,
174,Escape from L.A.,10061,42277365.0,5.6,381.0,Action,Adventure,Science Fiction,Thriller,,,
175,Tin Cup,10478,53854588.0,5.9,152.0,Comedy,Drama,Romance,,,,
176,The Godfather,238,245066411.0,8.5,6024.0,Drama,Crime,,,,,
177,Police Story 3: Supercop,11134,20483423.0,6.7,109.0,Action,Crime,Thriller,,,,
178,Bound,9303,7011317.0,6.9,203.0,Crime,Drama,Romance,Thriller,,,
179,The Relic,11015,33956608.0,5.8,130.0,Horror,Mystery,Thriller,,,,
180,Singin' in the Rain,872,7200000.0,7.9,747.0,Comedy,Music,Romance,,,,
181,An American in Paris,2769,4500000.0,6.9,133.0,Drama,Comedy,Music,Romance,,,
182,Breakfast at Tiffany's,164,9500000.0,7.6,1082.0,Comedy,Drama,Romance,,,,
183,Vertigo,426,28000000.0,8.0,1162.0,Mystery,Romance,Thriller,,,,
184,Rear Window,567,36764313.0,8.2,1531.0,Drama,Mystery,Thriller,,,,
185,It Happened One Night,3078,4500000.0,7.7,283.0,Comedy,Romance,,,,,
186,North by Northwest,213,13275000.0,7.8,1062.0,Mystery,Thriller,,,,,
187,The Apartment,284,25000000.0,8.1,498.0,Comedy,Drama,Romance,,,,
188,Some Like It Hot,239,25000000.0,8.0,835.0,Comedy,Romance,,,,,
189,Charade,4808,13474588.0,7.7,351.0,Comedy,Mystery,Romance,Thriller,,,
190,Casablanca,289,10462500.0,7.9,1462.0,Drama,Romance,,,,,
191,The Maltese Falcon,963,1000000.0,7.8,435.0,Mystery,Crime,Thriller,,,,
192,My Fair Lady,11113,72070731.0,7.4,361.0,Drama,Family,Music,Romance,,,
193,Sabrina,6620,10000000.0,7.4,284.0,Comedy,Drama,Romance,,,,
194,Roman Holiday,804,12000000.0,7.8,502.0,Comedy,Romance,,,,,
195,The Wizard of Oz,630,33754967.0,7.4,1689.0,Adventure,Family,Fantasy,,,,
196,Gone with the Wind,770,400176459.0,7.7,995.0,Drama,Romance,War,,,,
197,Sunset Boulevard,599,5000000.0,8.2,533.0,Drama,,,,,,
198,Citizen Kane,15,23217674.0,8.0,1244.0,Mystery,Drama,,,,,
199,2001: A Space Odyssey,62,68700000.0,7.9,3075.0,Science Fiction,Mystery,Adventure,,,,
200,All About Eve,705,63463.0,8.0,367.0,Drama,,,,,,
201,Rebecca,223,6000000.0,7.7,346.0,Drama,Mystery,,,,,
202,Notorious,303,24464742.0,7.8,345.0,Thriller,Drama,Romance,,,,
203,Spellbound,4174,7000000.0,7.3,166.0,Drama,Mystery,Thriller,,,,
204,To Catch a Thief,381,8750000.0,7.1,299.0,Crime,Drama,Mystery,Romance,Thriller,,
205,The Adventures of Robin Hood,10907,3981000.0,7.6,170.0,Action,Adventure,Romance,,,,
206,Laura,1939,2000000.0,7.6,173.0,Drama,Mystery,,,,,
207,Giant,1712,35000000.0,7.5,169.0,Action,Drama,Western,,,,
208,It's a Wonderful Life,1585,9644124.0,8.0,1103.0,Drama,Family,Fantasy,,,,
209,Mr. Smith Goes to Washington,3083,9600000.0,7.9,245.0,Comedy,Drama,,,,,
210,Night of the Living Dead,10331,30000000.0,7.5,591.0,Horror,,,,,,
211,The African Queen,488,10750000.0,7.4,232.0,Adventure,War,Romance,,,,
212,Cat on a Hot Tin Roof,261,17570324.0,7.6,168.0,Drama,Romance,,,,,
213,Last Man Standing,9333,47267001.0,6.2,263.0,Action,Crime,Drama,Thriller,,,
214,"20,000 Leagues Under the Sea",173,28200000.0,6.9,160.0,Adventure,Drama,Science Fiction,,,,
215,Cool Runnings,864,154864401.0,6.8,510.0,Comedy,,,,,,
216,Cinderella,11224,263591415.0,6.8,1760.0,Family,Fantasy,Animation,Romance,,,
217,The Sword in the Stone,9078,22182353.0,6.9,935.0,Animation,Family,,,,,
218,Robin Hood: Prince of Thieves,8367,390493908.0,6.6,937.0,Adventure,,,,,,
219,Mary Poppins,433,102272727.0,7.4,1217.0,Comedy,Family,Fantasy,,,,
220,Dumbo,11360,1600000.0,6.8,1206.0,Animation,Family,,,,,
221,Bedknobs and Broomsticks,12335,17900000.0,6.8,260.0,Adventure,Fantasy,Animation,Comedy,Family,Music,
222,Alice in Wonderland,12092,572000000.0,7.0,1557.0,Animation,Adventure,Family,Fantasy,,,
223,The Fox and the Hound,10948,29800000.0,7.0,884.0,Adventure,Animation,Drama,Family,,,
224,The Sound of Music,15121,286214286.0,7.4,966.0,Drama,Family,Music,Romance,,,
225,Die Hard,562,140767956.0,7.5,4005.0,Action,Thriller,,,,,
226,Secrets & Lies,11159,13417292.0,7.1,127.0,Drama,,,,,,
227,The Long Kiss Goodnight,11412,89456761.0,6.4,323.0,Crime,Action,Mystery,Thriller,,,
228,The Ghost and the Darkness,10586,75000000.0,6.4,238.0,Adventure,,,,,,
229,Romeo + Juliet,454,147298761.0,6.7,1406.0,Drama,Romance,,,,,
230,Swingers,10218,4505922.0,6.8,255.0,Comedy,Romance,,,,,
231,Sleepers,819,165615285.0,7.3,729.0,Crime,Drama,Thriller,,,,
232,Willy Wonka & the Chocolate Factory,252,4000000.0,7.4,826.0,Family,Fantasy,,,,,
233,Sleeper,11561,18344729.0,7.0,206.0,Comedy,Romance,Science Fiction,,,,
234,Bananas,11302,11833696.0,6.7,167.0,Comedy,,,,,,
235,A Fish Called Wanda,623,62493712.0,7.1,576.0,Comedy,Crime,,,,,
236,Life of Brian,583,20045115.0,7.7,1230.0,Comedy,,,,,,
237,Bonnie and Clyde,475,50700000.0,7.6,384.0,Crime,Drama,,,,,
238,Dial M for Murder,521,3000000.0,7.9,539.0,Crime,Mystery,Thriller,,,,
239,Dirty Dancing,88,213954274.0,7.1,1371.0,Drama,Music,Romance,,,,
240,Reservoir Dogs,500,14661007.0,8.1,3821.0,Crime,Thriller,,,,,
241,Platoon,792,138530565.0,7.5,1236.0,Drama,War,Action,,,,
242,Weekend at Bernie's,8491,30218387.0,6.4,255.0,Comedy,,,,,,
243,Basic Instinct,402,352927224.0,6.5,869.0,Thriller,Mystery,,,,,
244,The Doors,10537,34416893.0,6.7,285.0,Drama,Music,,,,,
245,The Crying Game,11386,62548947.0,6.9,180.0,Romance,Crime,Drama,Thriller,,,
246,Glengarry Glen Ross,9504,10725228.0,7.5,330.0,Crime,Drama,Mystery,,,,
247,Sophie's Choice,15764,30036000.0,7.4,149.0,Drama,Romance,,,,,
248,E.T. the Extra-Terrestrial,601,792965326.0,7.3,3359.0,Science Fiction,Adventure,Family,Fantasy,,,
249,Days of Thunder,2119,157920733.0,5.9,359.0,Adventure,,,,,,
250,Top Gun,744,356830601.0,6.7,1736.0,Action,Romance,War,,,,
251,A Streetcar Named Desire,702,8000000.0,7.6,291.0,Drama,,,,,,
252,The People vs. Larry Flynt,1630,20300385.0,6.8,257.0,Drama,,,,,,
253,The Return of the Pink Panther,11843,41833347.0,6.7,138.0,Mystery,Comedy,Crime,,,,
254,Drop Dead Fred,10379,13878334.0,5.9,107.0,Comedy,Fantasy,Family,,,,
255,The Abyss,2756,90000098.0,7.1,822.0,Adventure,Action,Thriller,Science Fiction,,,
256,The Fog,790,21378361.0,6.4,318.0,Horror,,,,,,
257,Escape from New York,1103,50244700.0,6.9,720.0,Science Fiction,Action,,,,,
258,The Howling,11298,17985893.0,6.4,165.0,Drama,Horror,,,,,
259,Monty Python and the Holy Grail,762,5028948.0,7.8,1742.0,Adventure,Comedy,Fantasy,,,,
260,Delicatessen,892,1794187.0,7.4,320.0,Comedy,Science Fiction,Fantasy,,,,
261,The English Patient,409,231976425.0,7.0,559.0,Drama,Romance,War,,,,
262,My Left Foot: The Story of Christy Brown,10161,14743391.0,7.5,208.0,Drama,,,,,,
263,One Flew Over the Cuckoo's Nest,510,108981275.0,8.3,3001.0,Drama,,,,,,
264,The Empire Strikes Back,1891,538400000.0,8.2,5998.0,Adventure,Action,Science Fiction,,,,
265,The Princess Bride,2493,30857814.0,7.6,1518.0,Adventure,Family,Fantasy,Comedy,Romance,,
266,Raiders of the Lost Ark,85,389925971.0,7.7,3949.0,Adventure,Action,,,,,
267,Aliens,679,183316455.0,7.7,3282.0,Horror,Action,Thriller,Science Fiction,,,
268,"The Good, the Bad and the Ugly",429,6000000.0,8.1,2371.0,Western,,,,,,
269,12 Angry Men,389,1000000.0,8.2,2130.0,Drama,,,,,,
270,Lawrence of Arabia,947,69995385.0,7.8,870.0,Adventure,Drama,History,War,,,
271,A Clockwork Orange,185,26589000.0,8.0,3432.0,Science Fiction,Drama,,,,,
272,To Kill a Mockingbird,595,13129846.0,7.9,676.0,Crime,Drama,,,,,
273,Apocalypse Now,28,89460381.0,8.0,2112.0,Drama,War,,,,,
274,Once Upon a Time in the West,335,5321508.0,8.1,1160.0,Western,,,,,,
275,Return of the Jedi,1892,572700000.0,7.9,4763.0,Adventure,Action,Science Fiction,,,,
276,Wings of Desire,144,3200000.0,7.5,256.0,Drama,Fantasy,Romance,,,,
277,GoodFellas,769,46836394.0,8.2,3211.0,Drama,Crime,,,,,
278,Alien,348,104931801.0,7.9,4564.0,Horror,Action,Thriller,Science Fiction,,,
279,Ran,11645,4069653.0,7.9,349.0,Action,Drama,History,,,,
280,Psycho,539,32000000.0,8.3,2405.0,Drama,Horror,Thriller,,,,
281,The Blues Brothers,525,115229890.0,7.5,1092.0,Music,Comedy,Action,Crime,,,
282,The Godfather: Part II,240,47542841.0,8.3,3418.0,Drama,Crime,,,,,
283,Full Metal Jacket,600,46357676.0,7.9,2595.0,Drama,War,,,,,
284,Amadeus,279,51973029.0,7.8,1107.0,Drama,History,Music,,,,
285,Raging Bull,1578,23000000.0,7.7,968.0,Drama,,,,,,
286,Annie Hall,703,38251425.0,7.8,1044.0,Comedy,Drama,Romance,,,,
287,The Right Stuff,9549,21500000.0,7.4,241.0,Drama,History,,,,,
288,Das Boot,387,85000000.0,7.9,623.0,Action,Drama,History,War,Adventure,,
289,The Sting,9277,159616327.0,7.9,639.0,Comedy,Crime,Drama,,,,
290,The Terminator,218,78371200.0,7.4,4208.0,Action,Thriller,Science Fiction,,,,
291,Braindead,763,242623.0,7.4,388.0,Horror,Comedy,,,,,
292,Glory,9665,26828365.0,7.4,391.0,War,,,,,,
293,Miller's Crossing,379,5080409.0,7.5,431.0,Drama,Thriller,Crime,,,,
294,Dead Poets Society,207,235860116.0,8.1,2786.0,Drama,,,,,,
295,The Graduate,37247,104945305.0,7.6,855.0,Drama,,,,,,
296,Touch of Evil,1480,2247465.0,7.6,292.0,Drama,Thriller,Crime,,,,
297,The Bridge on the River Kwai,826,27200000.0,7.7,554.0,Drama,History,War,,,,
298,Chinatown,829,30000000.0,7.9,939.0,Crime,Drama,Mystery,Thriller,,,
299,The Treasure of the Sierra Madre,3090,4307000.0,7.9,285.0,Action,Adventure,Drama,Western,,,
300,The Shining,694,44017374.0,8.1,3890.0,Horror,Thriller,,,,,
301,Stand by Me,235,52287414.0,7.8,1568.0,Crime,Drama,,,,,
302,Evil Dead II,765,5923044.0,7.5,760.0,Horror,Comedy,Fantasy,,,,
303,The Great Escape,5925,11744471.0,7.8,731.0,Adventure,Drama,History,Thriller,War,,
304,The Deer Hunter,11778,50000000.0,7.8,943.0,Drama,War,,,,,
305,Groundhog Day,137,70906973.0,7.4,2358.0,Romance,Fantasy,Drama,Comedy,,,
306,Unforgiven,33,159157447.0,7.7,1133.0,Western,,,,,,
307,The Manchurian Candidate,982,96105910.0,7.7,188.0,Mystery,Thriller,,,,,
308,Back to the Future,105,381109762.0,8.0,6239.0,Adventure,Comedy,Science Fiction,Family,,,
309,Fried Green Tomatoes,1633,119418501.0,7.6,298.0,Drama,Comedy,,,,,
310,Patton,11202,89800000.0,7.3,327.0,Drama,History,War,,,,
311,Akira,149,553171.0,7.8,792.0,Science Fiction,Animation,,,,,
312,Highlander,8009,5900000.0,6.8,642.0,Adventure,Action,Fantasy,,,,
313,Cool Hand Luke,903,16217773.0,7.7,390.0,Crime,Drama,,,,,
314,Young Frankenstein,3034,86273333.0,7.7,880.0,Comedy,Science Fiction,,,,,
315,Night on Earth,339,2015810.0,7.5,165.0,Comedy,Drama,,,,,
316,The Great Dictator,914,11000000.0,8.1,756.0,Comedy,,,,,,
317,Fantasia,756,83320000.0,7.2,831.0,Animation,Family,Music,,,,
318,High Noon,288,8000000.0,7.6,343.0,Western,,,,,,
319,Ben-Hur,665,146900000.0,7.5,660.0,Action,Adventure,Drama,History,,,
320,This Is Spinal Tap,11031,4736202.0,7.6,413.0,Comedy,Music,,,,,
